epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,672.486,0.58218,0.49105,0.85086,0.90519,0.92597,0.95765,0.83123,0.57026,0.40653,0.84948,0.000101565,0.000101565,0.000101565
43,688.887,0.57047,0.49136,0.85126,0.93657,0.92039,0.96928,0.8394,0.56956,0.4159,0.85049,9.953e-05,9.953e-05,9.953e-05
44,704.506,0.5701,0.48393,0.84725,0.91579,0.9293,0.9576,0.838,0.55405,0.41416,0.84646,9.7495e-05,9.7495e-05,9.7495e-05
45,720.102,0.57651,0.48558,0.84411,0.9344,0.90691,0.97089,0.842,0.55528,0.40381,0.84845,9.546e-05,9.546e-05,9.546e-05
46,735.835,0.57505,0.47822,0.84501,0.93073,0.91349,0.96992,0.841,0.55922,0.397,0.84882,9.3425e-05,9.3425e-05,9.3425e-05
47,752.803,0.56483,0.47928,0.848,0.89548,0.95684,0.97199,0.84535,0.55715,0.39555,0.84692,9.139e-05,9.139e-05,9.139e-05
48,768.58,0.55839,0.46321,0.84568,0.94044,0.90112,0.96775,0.83594,0.56417,0.40134,0.84838,8.9355e-05,8.9355e-05,8.9355e-05
49,784.115,0.56206,0.46089,0.84586,0.95227,0.89687,0.95812,0.8325,0.55351,0.4073,0.84811,8.732e-05,8.732e-05,8.732e-05
50,799.686,0.55377,0.46656,0.83641,0.9042,0.93337,0.95794,0.82635,0.57069,0.39988,0.85103,8.5285e-05,8.5285e-05,8.5285e-05
51,815.715,0.55684,0.44798,0.84466,0.94992,0.90922,0.97281,0.84304,0.56807,0.3906,0.85009,8.325e-05,8.325e-05,8.325e-05
52,831.612,0.55446,0.46178,0.84721,0.92424,0.95262,0.97345,0.84461,0.55832,0.39093,0.84907,8.1215e-05,8.1215e-05,8.1215e-05
53,847.219,0.54895,0.45097,0.83837,0.92239,0.94735,0.97179,0.84423,0.55938,0.38979,0.84882,7.918e-05,7.918e-05,7.918e-05
54,862.86,0.55357,0.45485,0.83863,0.93816,0.91394,0.96716,0.83955,0.5509,0.39904,0.84589,7.7145e-05,7.7145e-05,7.7145e-05
55,878.438,0.55095,0.4456,0.84588,0.9361,0.92079,0.97082,0.84477,0.55882,0.39257,0.84713,7.511e-05,7.511e-05,7.511e-05
56,894.436,0.54308,0.43052,0.83825,0.93821,0.91329,0.9686,0.84541,0.54852,0.3874,0.84602,7.3075e-05,7.3075e-05,7.3075e-05
57,910.163,0.54316,0.43671,0.84048,0.94336,0.91944,0.95752,0.83745,0.55243,0.39149,0.84663,7.104e-05,7.104e-05,7.104e-05
58,925.784,0.55274,0.45089,0.84019,0.94596,0.92057,0.95962,0.83383,0.55946,0.38129,0.84942,6.9005e-05,6.9005e-05,6.9005e-05
59,941.478,0.54621,0.44632,0.84348,0.92473,0.91845,0.96373,0.83718,0.56658,0.3885,0.85031,6.697e-05,6.697e-05,6.697e-05
60,956.98,0.53958,0.42672,0.84244,0.95476,0.91228,0.96013,0.83695,0.55694,0.37855,0.84721,6.4935e-05,6.4935e-05,6.4935e-05
61,973.151,0.53989,0.42997,0.83784,0.94832,0.91659,0.96566,0.83961,0.55451,0.36927,0.84749,6.29e-05,6.29e-05,6.29e-05
62,988.825,0.55703,0.43009,0.84023,0.94789,0.91827,0.95986,0.83447,0.56307,0.38004,0.85031,6.0865e-05,6.0865e-05,6.0865e-05
63,1004.46,0.54159,0.45064,0.83992,0.95255,0.92511,0.96841,0.84275,0.55147,0.36588,0.84676,5.883e-05,5.883e-05,5.883e-05
