epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3667,1.60194,4.71506,1.24501,0.12449,0.2618,0.03774,0.02894,0.92591,4.33841,0.97561,6.02963e-05,6.02963e-05,6.02963e-05
2,37.786,0.94341,3.0165,0.9416,0.32592,0.2572,0.17115,0.14161,0.7565,2.54123,0.91141,0.000119951,0.000119951,0.000119951
3,54.2431,0.85991,2.28258,0.92578,0.52781,0.37543,0.34105,0.28558,0.69878,1.82171,0.89795,0.00017757,0.00017757,0.00017757
4,69.8634,0.80427,1.8474,0.90894,0.70473,0.42836,0.48663,0.41106,0.67017,1.51551,0.88915,0.000175843,0.000175843,0.000175843
5,85.4288,0.75901,1.58422,0.89979,0.62532,0.50815,0.58479,0.49859,0.64009,1.23183,0.88048,0.00017279,0.00017279,0.00017279
6,101.105,0.73484,1.37048,0.89548,0.58033,0.65842,0.707,0.60182,0.63455,0.9958,0.87871,0.000169737,0.000169737,0.000169737
7,117.172,0.72856,1.20302,0.89342,0.58199,0.73955,0.69793,0.59335,0.62205,0.9301,0.87716,0.000166685,0.000166685,0.000166685
8,133.33,0.72358,1.10485,0.89575,0.65977,0.71695,0.72912,0.62119,0.61274,0.83243,0.87332,0.000163632,0.000163632,0.000163632
9,149.046,0.6944,1.01102,0.88174,0.80181,0.65495,0.77806,0.66128,0.62452,0.75331,0.87493,0.00016058,0.00016058,0.00016058
10,164.864,0.69761,0.94429,0.87855,0.69566,0.76974,0.80472,0.68406,0.62159,0.70326,0.87707,0.000157528,0.000157528,0.000157528
11,180.753,0.68565,0.87964,0.87828,0.74123,0.75734,0.82583,0.70655,0.61036,0.72104,0.87261,0.000154475,0.000154475,0.000154475
12,198.151,0.69009,0.86271,0.87644,0.71084,0.85641,0.85578,0.73143,0.61424,0.65931,0.87363,0.000151422,0.000151422,0.000151422
13,214.175,0.69242,0.82338,0.88222,0.79694,0.77796,0.8589,0.73159,0.61969,0.65006,0.87913,0.00014837,0.00014837,0.00014837
14,230.078,0.68216,0.8019,0.87839,0.80703,0.79558,0.87378,0.74372,0.60817,0.62526,0.87425,0.000145317,0.000145317,0.000145317
15,245.924,0.65297,0.7551,0.87003,0.79477,0.83188,0.87932,0.75231,0.60753,0.60385,0.87334,0.000142265,0.000142265,0.000142265
16,262.609,0.65611,0.72472,0.86868,0.78835,0.85906,0.87296,0.74719,0.60487,0.57678,0.87785,0.000139212,0.000139212,0.000139212
17,278.521,0.64203,0.71885,0.8655,0.84485,0.83284,0.90568,0.7693,0.60603,0.56322,0.87819,0.00013616,0.00013616,0.00013616
18,294.16,0.65125,0.71966,0.86802,0.80623,0.86657,0.91759,0.77714,0.60955,0.55173,0.8721,0.000133107,0.000133107,0.000133107
19,310.142,0.64191,0.69195,0.87104,0.87846,0.82664,0.92594,0.78734,0.60798,0.54614,0.87545,0.000130055,0.000130055,0.000130055
20,326.892,0.65121,0.69411,0.86529,0.84566,0.8571,0.91085,0.78257,0.60126,0.54936,0.87203,0.000127003,0.000127003,0.000127003
21,342.533,0.6428,0.64695,0.86789,0.8196,0.8806,0.9217,0.7858,0.60244,0.52875,0.87123,0.00012395,0.00012395,0.00012395
22,358.179,0.64353,0.64463,0.86907,0.81285,0.90081,0.92982,0.79503,0.60369,0.50767,0.87162,0.000120897,0.000120897,0.000120897
23,374.068,0.625,0.62009,0.85562,0.86335,0.8771,0.92772,0.78857,0.59751,0.49719,0.86953,0.000117845,0.000117845,0.000117845
24,389.921,0.63187,0.61457,0.86026,0.85896,0.89322,0.93229,0.79045,0.61349,0.49825,0.87643,0.000114793,0.000114793,0.000114793
25,405.787,0.61367,0.60262,0.85911,0.83467,0.90755,0.91996,0.78583,0.60785,0.49331,0.87432,0.00011174,0.00011174,0.00011174
26,421.411,0.62134,0.58972,0.85578,0.82128,0.92159,0.93664,0.80159,0.60145,0.4883,0.87225,0.000108687,0.000108687,0.000108687
27,437.209,0.62381,0.59373,0.85611,0.82669,0.93833,0.95188,0.81596,0.58704,0.47789,0.86825,0.000105635,0.000105635,0.000105635
28,453.761,0.60591,0.57454,0.85303,0.8863,0.87305,0.94433,0.8059,0.61461,0.50354,0.87536,0.000102582,0.000102582,0.000102582
29,470.132,0.61079,0.59263,0.85556,0.90799,0.89098,0.96155,0.82156,0.59106,0.45713,0.86665,9.953e-05,9.953e-05,9.953e-05
30,485.9,0.60483,0.57208,0.85364,0.86873,0.91183,0.94794,0.81382,0.59414,0.46394,0.86884,9.64775e-05,9.64775e-05,9.64775e-05
31,501.668,0.59372,0.52996,0.85204,0.90736,0.91381,0.96348,0.82251,0.5784,0.44375,0.86324,9.3425e-05,9.3425e-05,9.3425e-05
32,517.559,0.59283,0.54882,0.85159,0.90692,0.92881,0.97046,0.82969,0.58583,0.44085,0.86452,9.03725e-05,9.03725e-05,9.03725e-05
