epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.6344,1.57528,4.77265,1.24559,0.34295,0.13714,0.03276,0.02493,1.02423,4.50505,0.96421,6.02652e-05,6.02652e-05,6.02652e-05
2,36.1754,0.94012,3.0214,0.93997,0.30227,0.3536,0.18302,0.14871,0.809,2.73507,0.90663,0.00011992,0.00011992,0.00011992
3,51.3856,0.83756,2.32915,0.92896,0.57962,0.43822,0.37926,0.31324,0.75823,1.86152,0.88534,0.00017754,0.00017754,0.00017754
4,66.5607,0.78217,1.86339,0.90673,0.71221,0.44479,0.49702,0.42118,0.69388,1.50956,0.87179,0.000175843,0.000175843,0.000175843
5,81.8177,0.74232,1.57413,0.89985,0.74554,0.50915,0.59918,0.50621,0.68026,1.24498,0.86567,0.00017279,0.00017279,0.00017279
6,97.1212,0.705,1.34431,0.89093,0.6195,0.62162,0.67376,0.56692,0.68689,1.03228,0.86717,0.000169737,0.000169737,0.000169737
7,112.87,0.69477,1.18717,0.8836,0.72332,0.64013,0.7129,0.60297,0.65814,0.93702,0.85694,0.000166685,0.000166685,0.000166685
8,128.151,0.69463,1.07558,0.88363,0.67975,0.70958,0.73913,0.62891,0.65834,0.84071,0.85983,0.000163632,0.000163632,0.000163632
9,143.479,0.68588,0.98755,0.88099,0.66376,0.75573,0.76048,0.64566,0.65688,0.7862,0.85719,0.00016058,0.00016058,0.00016058
10,158.744,0.68157,0.91534,0.87493,0.71726,0.71773,0.78259,0.66831,0.64392,0.75037,0.8515,0.000157528,0.000157528,0.000157528
11,173.992,0.65995,0.87058,0.87723,0.73597,0.73056,0.80307,0.68552,0.63713,0.72032,0.84838,0.000154475,0.000154475,0.000154475
12,190.06,0.65187,0.85212,0.87084,0.78248,0.78298,0.83346,0.71086,0.64437,0.66433,0.85018,0.000151422,0.000151422,0.000151422
13,205.327,0.6511,0.79307,0.86691,0.6911,0.88209,0.84528,0.7217,0.63295,0.63965,0.84993,0.00014837,0.00014837,0.00014837
14,220.563,0.65031,0.7875,0.87171,0.77352,0.86031,0.86719,0.7393,0.63362,0.6166,0.85137,0.000145317,0.000145317,0.000145317
15,235.817,0.62446,0.74049,0.8668,0.81772,0.78586,0.86855,0.74425,0.62649,0.60326,0.84883,0.000142265,0.000142265,0.000142265
16,251.28,0.64283,0.72101,0.87142,0.82189,0.85488,0.86376,0.734,0.62333,0.56787,0.84826,0.000139212,0.000139212,0.000139212
17,267.065,0.62897,0.70586,0.86296,0.75022,0.90712,0.9018,0.77065,0.62049,0.56968,0.84104,0.00013616,0.00013616,0.00013616
18,282.368,0.6206,0.67458,0.86504,0.83796,0.85706,0.88718,0.75436,0.62372,0.54105,0.84818,0.000133107,0.000133107,0.000133107
19,297.781,0.61142,0.66114,0.85858,0.87993,0.84799,0.88626,0.75531,0.62404,0.5231,0.84566,0.000130055,0.000130055,0.000130055
20,312.965,0.61848,0.67585,0.86566,0.79743,0.87314,0.8858,0.7609,0.6117,0.54674,0.84353,0.000127003,0.000127003,0.000127003
21,328.221,0.61714,0.65116,0.86003,0.83834,0.88626,0.91718,0.78955,0.61619,0.52763,0.84317,0.00012395,0.00012395,0.00012395
22,344.262,0.61492,0.6137,0.85737,0.86152,0.868,0.90089,0.77018,0.63812,0.53526,0.85178,0.000120897,0.000120897,0.000120897
23,359.695,0.61326,0.61949,0.86179,0.84686,0.89457,0.92699,0.80169,0.61629,0.51784,0.84497,0.000117845,0.000117845,0.000117845
24,375.025,0.6185,0.60529,0.85522,0.90563,0.84638,0.93388,0.80907,0.61067,0.49855,0.84289,0.000114793,0.000114793,0.000114793
25,390.368,0.60506,0.58976,0.85573,0.87966,0.87509,0.948,0.81398,0.61505,0.49522,0.84418,0.00011174,0.00011174,0.00011174
26,405.671,0.59619,0.57518,0.85236,0.9121,0.87411,0.9509,0.81207,0.61217,0.48354,0.84289,0.000108687,0.000108687,0.000108687
27,421.901,0.5824,0.56795,0.85316,0.85348,0.89791,0.94888,0.81235,0.60875,0.48361,0.84026,0.000105635,0.000105635,0.000105635
28,437.093,0.59882,0.57611,0.8523,0.91619,0.8598,0.94783,0.81471,0.60847,0.4698,0.84256,0.000102582,0.000102582,0.000102582
29,452.711,0.59499,0.55961,0.85102,0.91386,0.90353,0.96208,0.82386,0.60631,0.46822,0.84013,9.953e-05,9.953e-05,9.953e-05
30,468.182,0.5914,0.5701,0.84811,0.90436,0.91488,0.96729,0.833,0.60299,0.45533,0.8368,9.64775e-05,9.64775e-05,9.64775e-05
31,483.952,0.57642,0.53802,0.84608,0.89802,0.9091,0.95613,0.81637,0.60257,0.44308,0.83897,9.3425e-05,9.3425e-05,9.3425e-05
32,500.074,0.58199,0.54698,0.8455,0.90654,0.91979,0.95796,0.82107,0.60188,0.43889,0.83925,9.03725e-05,9.03725e-05,9.03725e-05
33,515.546,0.58448,0.53971,0.85147,0.87698,0.93958,0.96861,0.82988,0.60489,0.44875,0.83787,8.732e-05,8.732e-05,8.732e-05
34,530.985,0.57171,0.51739,0.84657,0.90363,0.91792,0.94627,0.81204,0.61534,0.43954,0.84076,8.42675e-05,8.42675e-05,8.42675e-05
35,546.246,0.5592,0.50327,0.84501,0.92063,0.91784,0.96273,0.83288,0.59647,0.42872,0.83658,8.1215e-05,8.1215e-05,8.1215e-05
36,561.662,0.5756,0.51445,0.84901,0.86605,0.95233,0.96546,0.82865,0.60531,0.43345,0.83909,7.81625e-05,7.81625e-05,7.81625e-05
37,577.245,0.57198,0.50694,0.84435,0.868,0.9432,0.96344,0.83062,0.6016,0.43822,0.83761,7.511e-05,7.511e-05,7.511e-05
38,592.417,0.56678,0.51489,0.84492,0.86611,0.97186,0.97634,0.83776,0.60381,0.42144,0.8371,7.20575e-05,7.20575e-05,7.20575e-05
39,607.773,0.57361,0.52092,0.85045,0.95036,0.89634,0.96866,0.83406,0.60263,0.41939,0.83706,6.9005e-05,6.9005e-05,6.9005e-05
40,622.974,0.57277,0.48684,0.84503,0.85183,0.97351,0.97738,0.84279,0.59695,0.40864,0.83525,6.59525e-05,6.59525e-05,6.59525e-05
41,638.665,0.55128,0.48472,0.83748,0.9014,0.93747,0.9766,0.83915,0.59704,0.4105,0.83485,6.29e-05,6.29e-05,6.29e-05
42,654.312,0.56093,0.49455,0.84505,0.92412,0.93937,0.97802,0.84026,0.59616,0.404,0.83413,5.98475e-05,5.98475e-05,5.98475e-05
43,669.606,0.54547,0.46879,0.83968,0.95342,0.92772,0.98107,0.84324,0.59673,0.39938,0.83525,5.6795e-05,5.6795e-05,5.6795e-05
44,685.093,0.55616,0.48186,0.84422,0.93274,0.92321,0.97871,0.84151,0.59839,0.40809,0.8351,5.37425e-05,5.37425e-05,5.37425e-05
45,700.432,0.54913,0.46324,0.83754,0.94061,0.9307,0.96676,0.83584,0.58929,0.40005,0.83264,5.069e-05,5.069e-05,5.069e-05
46,715.766,0.55101,0.46829,0.84123,0.90689,0.95565,0.97133,0.84055,0.59603,0.39464,0.83329,4.76375e-05,4.76375e-05,4.76375e-05
47,731.894,0.54749,0.46204,0.84091,0.94521,0.92779,0.96026,0.82804,0.59517,0.39343,0.83429,4.4585e-05,4.4585e-05,4.4585e-05
48,747.145,0.54692,0.4614,0.83818,0.88824,0.97593,0.98168,0.84421,0.59758,0.38966,0.83409,4.15325e-05,4.15325e-05,4.15325e-05
49,762.795,0.54239,0.45634,0.83868,0.95101,0.92301,0.98006,0.84637,0.59672,0.38814,0.83327,3.848e-05,3.848e-05,3.848e-05
50,778.083,0.54329,0.44999,0.83942,0.92992,0.93646,0.98085,0.84748,0.59443,0.38543,0.83437,3.54275e-05,3.54275e-05,3.54275e-05
